n,time
1,5.830079317092896e-07
11,5.08397351950407e-06
21,8.707982487976551e-06
31,1.783308107405901e-05
41,3.062502946704626e-05
51,4.691700451076031e-05
61,6.66249543428421e-05
71,8.987495675683022e-05
81,0.00011662498582154512
91,0.00014629203360527754
101,0.0001805000938475132
111,0.00022533396258950233
121,0.0002753329463303089
131,0.00031187490094453096
141,0.00035383400972932577
151,0.00039891700726002455
161,0.0004546660929918289
171,0.00051099993288517
181,0.0005717501044273376
191,0.0006323339184746146
201,0.0007004169747233391
211,0.0007671660277992487
221,0.0008421250386163592
231,0.0009152910206466913
241,0.0009969579987227917
251,0.001082708011381328
261,0.001190416980534792
271,0.0012974579585716128
281,0.001360083930194378
291,0.001457959064282477
301,0.0015688339481130242
311,0.0016759580466896296
321,0.0017977498937398195
331,0.0019135840702801943
341,0.002081250073388219
351,0.0021785839926451445
361,0.00231141597032547
371,0.00244974996894598
381,0.0026130840415135026
391,0.002753542037680745
401,0.00290833308827132
411,0.003071208018809557
421,0.0032883749809116125
431,0.0034769169287756085
441,0.003702541929669678
451,0.0038449589628726244
461,0.00408425007481128
471,0.004206375102512538
481,0.0044672919902950525
491,0.0045961670111864805
501,0.004827499971725047
511,0.005044125020503998
521,0.005249042063951492
531,0.005465291906148195
541,0.005778916995041072
551,0.005929167033173144
561,0.00625775009393692
571,0.006403874955140054
581,0.006710665998980403
591,0.006813624990172684
601,0.007106833974830806
611,0.007381416973657906
621,0.00806975003797561
631,0.008560749934986234
641,0.008311167010106146
651,0.008559499983675778
661,0.008921083994209766
671,0.009170250035822392
681,0.009480291977524757
691,0.009837249992415309
701,0.01010974997188896
711,0.010373750003054738
721,0.010686084046028554
731,0.01101549994200468
741,0.011233999975956976
751,0.01144429191481322
761,0.011797750019468367
771,0.01221445796545595
781,0.012529333936981857
791,0.012907958938740194
801,0.013259458006359637
811,0.013517208048142493
821,0.013882666011340916
831,0.014336291933432221
841,0.014888208941556513
851,0.015295583056285977
861,0.01568762504030019
871,0.016089041018858552
881,0.016446667024865746
891,0.01688541693147272
901,0.017341375001706183
911,0.017683166079223156
921,0.01849212497472763
931,0.018183875014074147
941,0.01862283400259912
951,0.01905862509738654
961,0.01944266597274691
971,0.019840000080876052
981,0.020353958010673523
991,0.020743959001265466
1001,0.02132758393418044
1011,0.021675333962775767
1021,0.022342832991853356
1031,0.02255374996457249
1041,0.023092541028745472
1051,0.023604457965120673
1061,0.024084624950774014
1071,0.024490124895237386
1081,0.025193416979163885
1091,0.025575874955393374
1101,0.02607545896898955
1111,0.027052833000198007
1121,0.027211499982513487
1131,0.027826541918329895
1141,0.028767416952177882
1151,0.028551000053994358
1161,0.029375666985288262
1171,0.030156665947288275
1181,0.030729625024832785
1191,0.031101707951165736
1201,0.03153979103080928
1211,0.031717166071757674
1221,0.03236158308573067
1231,0.032866917084902525
1241,0.03358070901595056
1251,0.03461137495469302
1261,0.03537149995099753
1271,0.03584129107184708
1281,0.03653504198882729
1291,0.03716525004711002
1301,0.038004291942343116
1311,0.037631583982147276
1321,0.03824441600590944
1331,0.03873862500768155
1341,0.039539917022921145
1351,0.040188000071793795
1361,0.040791832958348095
1371,0.04129833390470594
1381,0.04253629094455391
1391,0.043291499954648316
1401,0.04373008292168379
1411,0.04436112509574741
1421,0.04484724998474121
1431,0.04657216707710177
1441,0.04644916602410376
1451,0.04654720798134804
1461,0.047207499970681965
1471,0.04928854200989008
1481,0.048626708099618554
1491,0.05020191706717014
1501,0.05087104206904769
1511,0.051785374991595745
1521,0.05149462493136525
1531,0.052380749955773354
1541,0.053237833082675934
1551,0.05374916607979685
1561,0.05488045804668218
1571,0.055820625042542815
1581,0.05639195803087205
1591,0.05733737500850111
1601,0.05770104192197323
1611,0.05868424999061972
1621,0.059776625013910234
1631,0.06013958400581032
1641,0.061157541000284255
1651,0.061370667070150375
1661,0.06197241705376655
1671,0.06289950001519173
1681,0.06376033299602568
1691,0.06452529190573841
1701,0.06522341701202095
1711,0.06604541710112244
1721,0.06768075004220009
1731,0.06797008402645588
1741,0.0683426249306649
1751,0.06951695901807398
1761,0.07139929197728634
1771,0.07101900002453476
1781,0.07286866696085781
1791,0.07284341705963016
1801,0.07344870909582824
1811,0.0759598339209333
1821,0.07558845903258771
1831,0.07632395799737424
1841,0.07714862504508346
1851,0.07776741706766188
1861,0.0786883330438286
1871,0.08094008301850408
1881,0.08059254195541143
1891,0.08206479193177074
1901,0.08335104095749557
1911,0.08294970903079957
1921,0.08443112496752292
1931,0.08523470791988075
1941,0.08615758293308318
1951,0.08867491700220853
1961,0.08921183296479285
1971,0.08975666610058397
1981,0.0904865839984268
1991,0.09079091704916209
2001,0.0920968750724569
2011,0.09340316604357213
2021,0.09396650001872331
2031,0.09448408405296504
2041,0.0960046669933945
2051,0.0964347500121221
2061,0.10015620896592736
2071,0.09902774996589869
2081,0.10033533303067088
2091,0.10030549997463822
2101,0.10180774994660169
2111,0.10326337500009686
2121,0.10385137493722141
2131,0.10492008307483047
2141,0.10571112495381385
2151,0.10636812495067716
2161,0.10771054099313915
2171,0.10859079100191593
2181,0.11039070901460946
2191,0.1106460839509964
2201,0.11319249996449798
2211,0.1133887079777196
2221,0.11500099999830127
2231,0.11484741698950529
2241,0.11612670798785985
2251,0.11696470796596259
2261,0.12013833306264132
2271,0.11898324999492615
2281,0.12032870890107006
2291,0.121620082994923
2301,0.12323591706808656
2311,0.1241666249698028
2321,0.12473724992014468
2331,0.12706899992190301
2341,0.12828987499233335
2351,0.12870366591960192
2361,0.13263137498870492
2371,0.1312237080419436
2381,0.13156583299860358
2391,0.13276479102205485
2401,0.13426358299329877
2411,0.13488012494053692
2421,0.13806245801970363
2431,0.1374844580423087
2441,0.13923829200211912
2451,0.1407720419811085
2461,0.14088454202283174
2471,0.14145612507127225
2481,0.14361341705080122
2491,0.14403654099442065
2501,0.14643708302173764
2511,0.14639712497591972
2521,0.148994083981961
2531,0.15038854209706187
2541,0.1507362499833107
2551,0.15395745798014104
2561,0.1532859579892829
2571,0.15593150001950562
2581,0.15602054202463478
